age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,degree,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,marital,mode,news,owngun,partyid_3,polviews,pornlaw2,pray,pres08,reborn_r,relig,science_quiz,sex,sibs,social_connect,social_cons3,south,spend3,teensex,tolerance,tvhours,vetyears,wordsum,zodiac
21,Never,4,No,YES,0,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,4,HS,22,Low,LEGAL,VERY HAPPY,No,ALWAYS WRONG,25,Never married,IN-PERSON,EVERYDAY,NO,Ind,SlghtCons,Not illegal to all,NEVER,Obama,No,CATHOLIC,7,Male,2,5,Mod,Nonsouth,Conserv,ALWAYS WRONG,10,3,NONE,5,ARIES
42,Never,4,No,YES,2,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",2,HS,14,Mod,LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,23,Married,IN-PERSON,NEVER,NO,Ind,SlghtCons,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,10,Male,1,5,Liberal,Nonsouth,Mod,NOT WRONG AT ALL,13,3,NONE,6,ARIES
70,<Once/yr,1,Yes,YES,3,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Bachelor deg,20,Mod,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,19,Separated,IN-PERSON,FEW TIMES A WEEK,NO,Dem,Liberal,Not illegal to all,SEVERAL TIMES A DAY,Obama,No,PROTESTANT,4,Female,0,5,Liberal,Nonsouth,Conserv,ALWAYS WRONG,10,3,NONE,6,TAURUS
35,Sev times/yr,2,No,YES,2,ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Junior Coll,34,High,LEGAL,PRETTY HAPPY,No,ALWAYS WRONG,16,Married,IN-PERSON,NEVER,YES,Ind,Moderate,Not illegal to all,ONCE A WEEK,Obama,Yes,CHRISTIAN,7,Female,2,10,Liberal,Nonsouth,Liberal,ALWAYS WRONG,11,3,NONE,6,SCORPIO
24,Sev times/yr,6,No,NO,3,NOT ALLOWED,NOT ALLOWED,FIRED,ALLOWED,ALLOWED,Not allowed,3,<HS,35,Low,NOT LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,5,Separated,IN-PERSON,EVERYDAY,NO,Ind,Moderate,Not illegal to all,LT ONCE A WEEK,Obama,No,CATHOLIC,5,Female,2,4,Mod,Nonsouth,Conserv,ALMST ALWAYS WRG,7,2,NONE,4,SCORPIO
28,Never,1,Yes,YES,2,ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,3,<HS,21,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,1,Married,IN-PERSON,ONCE A WEEK,NO,Ind,Conserv,Not illegal to all,NEVER,Obama,No,NONE,7,Female,2,5,Liberal,Nonsouth,Liberal,SOMETIMES WRONG,8,3,NONE,3,LIBRA
28,Once/yr,1,No,YES,0,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,4,Bachelor deg,33,High,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,16,Never married,IN-PERSON,EVERYDAY,NO,Dem,Liberal,Not illegal to all,ONCE A DAY,Obama,Yes,NONE,7,Female,0,7,Liberal,Nonsouth,Liberal,ALWAYS WRONG,14,3,NONE,7,TAURUS
55,Every wk,2,No,YES,6,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",3,<HS,26,Low,LEGAL,VERY HAPPY,No,NOT WRONG AT ALL,1,Divorced,IN-PERSON,EVERYDAY,NO,Dem,ExtrmLib,Not illegal to all,ONCE A DAY,McCain,No,CATHOLIC,5,Male,4,5,Mod,Nonsouth,Mod,ALWAYS WRONG,11,6,NONE,2,PISCES
36,Never,1,Yes,YES,3,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,2,Bachelor deg,35,Low,LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,19,Never married,IN-PERSON,NEVER,NO,Dem,Liberal,Not illegal to all,ONCE A DAY,Obama,No,PROTESTANT,6,Female,2,8,Liberal,Nonsouth,Liberal,NOT WRONG AT ALL,12,2,NONE,6,CAPRICORN
28,Never,4,No,YES,4,ALLOWED,ALLOWED,NOT FIRED,ALLOWED,ALLOWED,"Yes, allowed",1,HS,30,Low,LEGAL,NOT TOO HAPPY,No,NOT WRONG AT ALL,8,Never married,IN-PERSON,NEVER,NO,Ind,Moderate,Not illegal to all,NEVER,Obama,No,NONE,7,Female,6,4,Liberal,Nonsouth,Conserv,SOMETIMES WRONG,14,3,NONE,5,CAPRICORN
59,>Once/wk,4,Yes,YES,6,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,NOT ALLOWED,Not allowed,2,HS,22,High,NOT LEGAL,VERY HAPPY,No,ALWAYS WRONG,14,Divorced,IN-PERSON,LESS THAN ONCE WK,NO,Ind,Moderate,Illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,4,Female,7,7,Mod,Nonsouth,Liberal,ALWAYS WRONG,5,2,NONE,4,SAGITTARIUS
52,Sev times/yr,3,No,NO,4,ALLOWED,NOT ALLOWED,NOT FIRED,NOT ALLOWED,ALLOWED,Not allowed,4,<HS,1,High,NOT LEGAL,NOT TOO HAPPY,Yes,ALWAYS WRONG,18,Never married,OVER THE PHONE,ONCE A WEEK,NO,Ind,ExtrmCons,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,CATHOLIC,6,Male,6,1,Liberal,Nonsouth,Conserv,ALWAYS WRONG,11,2,NONE,2,SAGITTARIUS
35,Once/mo,2,Yes,YES,4,NOT ALLOWED,NOT ALLOWED,FIRED,NOT ALLOWED,ALLOWED,Not allowed,1,HS,35,Mod,NOT LEGAL,PRETTY HAPPY,No,NOT WRONG AT ALL,19,Never married,IN-PERSON,LESS THAN ONCE WK,NO,Rep,SlghtLib,Not illegal to all,SEVERAL TIMES A DAY,Obama,Yes,PROTESTANT,5,Female,2,4,Liberal,Nonsouth,Liberal,ALWAYS WRONG,4,4,NONE,5,PISCES
36,Every wk,0,No,NO,3,ALLOWED,NOT ALLOWED,NOT FIRED,ALLOWED,ALLOWED,Not allowed,3,HS,18,Low,NOT LEGAL,PRETTY HAPPY,Yes,NOT WRONG AT ALL,19,Married,IN-PERSON,EVERYDAY,NO,Rep,Moderate,Not illegal to all,ONCE A WEEK,McCain,No,CATHOLIC,8,Male,5,10,Mod,Nonsouth,Conserv,ALWAYS WRONG,11,2,NONE,2,GEMINI
